week,order_counterbalance,alien_counterbalance,set_counterbalance,tr_num,form_tr_num,condition,block,rep,name,target,sound1,sound2,sound3,correct_response
1,2,2,1,55,1,high,1,1,juss,L,juss,guss,vuss,0
1,2,2,1,56,2,low,1,1,chev,R,chez,chel,chev,2
1,2,2,1,57,3,high,2,1,pyzer,R,pyber,pyver,pyzer,2
1,2,2,1,58,4,low,2,1,gazzer,C,gammer,gazzer,gavver,1
1,2,2,1,59,5,high,1,1,wilp,C,rilp,wilp,gilp,1
1,2,2,1,60,6,low,2,1,modi,L,modi,mogi,movi,0
1,2,2,1,61,7,high,1,2,wilp,R,gilp,rilp,wilp,2
1,2,2,1,62,8,high,2,2,pyzer,L,pyzer,pyver,pyber,0
1,2,2,1,63,9,low,1,2,chev,L,chev,chel,chez,0
1,2,2,1,64,10,low,2,2,gazzer,R,gavver,gammer,gazzer,2
1,2,2,1,65,11,high,1,2,juss,C,vuss,juss,guss,1
1,2,2,1,66,12,low,2,2,modi,C,movi,modi,mogi,1
2,2,2,2,55,1,low,2,1,sarl,R,parl,farl,sarl,2
2,2,2,2,56,2,high,1,1,darg,L,darg,marg,barg,0
2,2,2,2,57,3,low,1,1,foob,L,foob,soob,koob,0
2,2,2,2,58,4,high,2,1,heab,C,hean,heab,heag,1
2,2,2,2,59,5,low,1,1,kulp,C,tulp,kulp,fulp,1
2,2,2,2,60,6,high,2,1,koba,R,koga,koza,koba,2
2,2,2,2,61,7,high,2,2,heab,L,heab,heag,hean,0
2,2,2,2,62,8,high,1,2,darg,R,barg,marg,darg,2
2,2,2,2,63,9,low,2,2,sarl,C,farl,sarl,parl,1
2,2,2,2,64,10,low,1,2,kulp,L,kulp,fulp,tulp,0
2,2,2,2,65,11,high,2,2,koba,C,koza,koba,koga,1
2,2,2,2,66,12,low,1,2,foob,R,koob,soob,foob,2
